,REVENUE,HWT_SUBSCRIBER,NAME,EMAIL,FIRST_NAME,FAMILY_NAME,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CUSTOMER_SERVICE_TICKETS_CNT,PRODUCT_CATEGORIES_VIEWED,SITE_VISIT_TIME_PER_VISIT_AVG,MOBILE_NUMBER,MEALS_CANCEL_BEFORE_NOON,MEALS_CANCEL_AFTER_NOON,SPECIFIED_TASTE_AND_PREFERENCES,PC_LOGINS_CNT,MOBILE_LOGINS_CNT,WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT,ORDERS_DELIVERED_BEFORE_DELIVERY_CNT,ORDERS_DELIVERED_AFTER_DELIVERY_CNT,PACKAGE_ROOM_AT_CUSTOMER,FRIDGE_LOCKER_IN_PACKAGE_ROOM,PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE,SECONDS_WATCHING_PREP_VID_AVG,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED_CNT,MEAL_RATING_MEDIAN,SITE_CLICKS_PER_VISIT_AVG,PHOTOS_VIEWED_COUNT,missing_FAMILY_NAME,fe_MEAL_CHOICE_SPECIFICITY,fe_SITE_CLICK_RATE,fe_SUBSCRIPTIONS_SYNERGY,flag_WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT_lo,fe_CUSTOMER_COMPANY,fe_CUSTOMER_DOMAIN
0,1880.0,1,Addam Osgrey,addam.osgrey@passport.com,Addam,Osgrey,118,4,7,5,86.0,1,2,1,0,6,2,8,0,2,1,0,90.0,165.8,6,1,3,11,0,0,0.03389830508474576,0.12790697674418605,1,1,passport,junk_domain
1,1495.0,1,Aegon Blackfyre,aegon.blackfyre@jnj.com,Aegon,Blackfyre,44,3,6,3,125.6,1,0,1,0,6,1,8,0,4,1,0,90.0,150.5,4,1,3,13,90,0,0.06818181818181818,0.1035031847133758,1,1,jnj,professional_domain
2,2572.5,1,Aegon Frey (son of Aenys),aegon.frey.(son.of.aenys)@gmail.com,Aegon,Frey ,38,1,5,3,58.0,1,5,0,1,6,2,14,0,0,0,0,80.0,99.6,3,0,3,12,0,0,0.02631578947368421,0.20689655172413793,1,1,gmail,personal_domain
3,1647.0,1,Aegon Targaryen (son of Rhaegar),aegon.targaryen.(son.of.rhaegar)@ibm.com,Aegon,Targaryen ,76,3,8,10,45.51,0,3,0,1,6,1,11,5,4,0,0,90.0,125.0,3,0,3,13,0,0,0.039473684210526314,0.2856515051637003,1,1,ibm,professional_domain
4,1923.0,1,Aegon V Targaryen,aegon.v.targaryen@goldmansacs.com,Aegon,V Targaryen,65,3,6,9,106.0,1,1,1,0,6,2,12,0,4,1,0,90.0,135.3,3,1,3,13,253,0,0.046153846153846156,0.12264150943396226,1,1,goldmansacs,professional_domain
5,1250.0,1,Aegor Rivers,aegor.rivers@gmail.com,Aegor,Rivers,57,4,6,2,84.21,1,0,0,1,5,1,10,2,5,0,0,70.0,91.2,3,1,2,17,0,0,0.07017543859649122,0.2018762617266358,1,1,gmail,personal_domain
6,4665.0,1,Aelinor Penrose,aelinor.penrose@homedepot.com,Aelinor,Penrose,106,3,10,8,110.0,1,3,0,0,6,2,7,0,3,0,0,70.0,263.3,6,2,4,10,705,0,0.02830188679245283,0.09090909090909091,1,1,homedepot,professional_domain
7,1690.0,1,Aemma Arryn,aemma.arryn@yahoo.com,Aemma,Arryn,122,6,8,10,92.73,1,1,0,1,5,1,8,0,3,0,0,70.0,160.0,5,1,3,13,0,0,0.04918032786885246,0.14019195513857435,1,1,yahoo,personal_domain
8,1710.0,1,Aemon Rivers,aemon.rivers@caterpillar.com,Aemon,Rivers,46,4,5,10,170.47,1,0,0,1,6,2,8,4,10,1,1,70.0,170.1,4,2,3,12,0,0,0.08695652173913043,0.07039361764533349,1,1,caterpillar,professional_domain
9,1770.0,1,Aggar,aggar@protonmail.com,Aggar,Aggar,58,4,6,5,79.58,1,0,1,1,6,2,2,3,7,1,1,90.0,191.3,7,1,3,12,0,0,0.06896551724137931,0.15079165619502388,1,1,protonmail,personal_domain
10,930.0,1,Aggo,aggo@protonmail.com,Aggo,Aggo,14,4,12,3,51.0,1,2,0,1,5,1,0,2,9,0,0,80.0,114.2,4,0,2,15,444,0,0.2857142857142857,0.29411764705882354,1,1,protonmail,personal_domain
11,1290.0,1,Alannys Harlaw,alannys.harlaw@gmail.com,Alannys,Harlaw,92,9,3,2,115.51,1,4,0,0,6,1,13,0,0,1,0,80.0,163.3,5,1,2,18,0,0,0.09782608695652174,0.15583066401177387,1,1,gmail,personal_domain
12,4550.0,1,Alaric of Eysen,alaric.of.eysen@yahoo.com,Alaric,of Eysen,122,3,10,9,134.7,1,0,0,1,6,1,1,0,1,0,0,90.0,204.2,6,1,4,10,250,0,0.02459016393442623,0.07423904974016333,1,1,yahoo,personal_domain
13,1190.0,1,Albett,albett@gmail.com,Albett,Albett,37,4,5,3,31.0,1,0,0,1,5,1,13,2,1,0,0,90.0,128.8,3,1,2,17,0,0,0.10810810810810811,0.5483870967741935,1,1,gmail,personal_domain
14,1425.0,1,Alebelly,alebelly@gmail.com,Alebelly,Alebelly,50,5,7,8,26.04,1,2,0,0,5,1,13,0,3,0,0,90.0,105.5,2,0,2,18,0,0,0.1,0.6912442396313364,1,1,gmail,personal_domain
15,1860.0,1,Alester Florent,alester.florent@passport.com,Alester,Florent,80,3,6,1,102.2,1,2,0,1,6,2,9,0,4,0,0,90.0,121.2,4,0,3,12,0,0,0.0375,0.11741682974559686,1,1,passport,junk_domain
16,2662.5,1,Alicent Hightower,alicent.hightower@live.com,Alicent,Hightower,91,5,9,10,67.5,1,2,0,1,5,1,11,0,4,0,0,90.0,192.9,5,1,3,12,0,0,0.054945054945054944,0.17777777777777778,1,1,live,junk_domain
17,1975.0,1,Allar Deem,allar.deem@live.com,Allar,Deem,64,9,6,2,101.6,1,2,2,0,6,1,47,0,2,0,0,90.0,138.1,3,1,3,12,0,0,0.140625,0.11811023622047245,0,0,live,junk_domain
18,1275.0,1,Allard Seaworth,allard.seaworth@gmail.com,Allard,Seaworth,31,7,6,1,231.29999999999998,1,2,0,1,5,2,0,0,3,0,0,90.0,106.9,2,1,3,14,0,0,0.22580645161290322,0.06052745352356248,1,1,gmail,personal_domain
19,1650.0,1,Alyce Graceford,alyce.graceford@gmail.com,Alyce,Graceford,67,8,8,6,34.8,1,3,0,0,5,1,2,7,0,0,0,80.0,120.0,3,0,3,11,0,0,0.11940298507462686,0.3160919540229885,1,1,gmail,personal_domain
